Lang	spBLEU100	spBLEU200	chrF2++	TER	SLR
afr_Latn	49.34	48.72	67.85	39.62	0.992
amh_Ethi	36.87	34.13	42.04	66.45	0.982
arb_Arab	44.32	48.6	62.61	52.08	0.946
arb_Latn	7.85	7.86	35.41	89.86	0.916
asm_Beng	29.25	23.24	37.38	81.32	0.982
ayr_Latn	11.54	7.19	31.49	106.74	1.042
bam_Latn	13.41	9.51	32.58	95.65	1.068
bel_Cyrl	27.52	30.09	44.43	76.25	0.899
ben_Beng	39.45	37.57	51.4	64.53	0.965
bho_Deva	23.62	21.03	40	73.68	0.952
bos_Latn	42.56	44.03	61.83	47.86	0.977
bul_Cyrl	50.73	53.14	67.86	43.03	0.982
cat_Latn	51.36	51.1	67.15	40.26	0.976
ceb_Latn	42.16	40.25	62.19	46.06	0.983
ces_Latn	44.69	45.99	60.33	49.88	0.974
ckb_Arab	28.74	25.79	47.73	73.02	1.03
cym_Latn	64.36	63.58	74.5	31.32	0.976
dan_Latn	54.58	55.27	70.3	37.31	0.985
deu_Latn	49.4	51.17	66.52	43.69	0.977
ell_Grek	37.12	40.06	53.61	54.62	0.942
epo_Latn	42.38	40.41	60.13	49.84	0.989
est_Latn	41.74	41.41	59.91	55.34	0.97
eus_Latn	35.34	33.91	54.52	67.35	0.966
ewe_Latn	22.05	17	39.89	83.9	1.078
fin_Latn	37.97	39.25	57.95	58	0.957
fra_Latn	59.08	59.73	72.68	33.93	0.974
gaz_Latn	17.2	14.62	40.27	87.61	0.971
gla_Latn	36.45	32.17	52.7	62.89	0.966
gle_Latn	47.51	44.07	60.13	52.5	0.961
glg_Latn	42.84	41.93	61.52	45.66	0.959
grn_Latn	17.53	15.28	36.37	84.65	0.912
guj_Gujr	43.3	39.23	55.17	59.93	0.985
hat_Latn	34.71	31.83	53.38	56.49	1
hau_Latn	32.73	30.64	53.21	58.06	0.988
heb_Hebr	46.78	48.75	61.18	48.81	0.978
hin_Deva	45.29	43.02	59.26	48.94	0.98
hrv_Latn	40.98	42.48	60.23	52.3	0.99
hun_Latn	39.03	40.94	58.08	56.85	0.978
hye_Armn	42.22	42.67	56.26	59.94	0.961
ibo_Latn	27.63	22.24	43.46	68.62	0.93
ilo_Latn	33.25	31	56.03	55.74	1.018
ind_Latn	54.79	55	72.57	33.7	0.971
isl_Latn	40.32	40.82	55.83	55.74	0.981
ita_Latn	39.26	39.97	59.06	53.37	0.944
jav_Latn	33.28	30.3	55.06	51.79	0.924
jpn_Jpan	39.13	35.34	37.09	172.71	0.991
kan_Knda	43.41	41.91	55.71	63.22	0.971
kat_Geor	35.81	37.51	51.44	74.42	0.948
kaz_Cyrl	39.77	38.71	56.01	58.83	0.972
khk_Cyrl	30.34	33.14	49.78	65.67	0.963
khm_Khmr	27.73	27.41	40.3	94.17	0.847
kin_Latn	40.2	34.3	56.14	57.62	0.89
kir_Cyrl	33.53	30.49	48.25	73.12	0.982
kmr_Latn	21.95	19.97	40.04	76.97	0.977
kor_Hang	32.19	30.03	38.59	68.13	0.917
lao_Laoo	33.22	29.56	44.05	91.35	0.931
lin_Latn	25.39	21.43	48.44	69.2	1.041
lit_Latn	41.35	41.67	59.36	56.37	0.978
ltz_Latn	37.72	35.32	55.6	57.25	0.938
lug_Latn	17.32	14.41	41.28	87.66	1.106
mai_Deva	24.16	19.62	40.64	79.54	0.988
mal_Mlym	43.79	43.17	56.22	65.61	0.961
mar_Deva	34.85	33.35	51.05	63.93	0.958
mkd_Cyrl	46.02	46.51	63.68	45.34	0.975
mlt_Latn	64.19	59.68	71.59	37.9	0.962
mni_Beng	0.05	0.14	0.63	105.91	0.506
mri_Latn	19.93	18.32	42.35	68.55	0.863
mya_Mymr	28.62	24.49	40.35	95.95	0.898
nld_Latn	36.67	38.01	57.3	58.22	0.996
nno_Latn	24.19	25.62	50.66	60.31	0.899
nso_Latn	33.29	29.76	54.05	60.4	1.069
nya_Latn	27.42	21.12	48.05	71.25	0.96
ory_Orya	43.74	38.88	53.39	65.05	0.962
pan_Guru	43.17	39.74	51.88	55.93	0.97
pes_Arab	39.06	39.76	54.28	56.54	0.962
plt_Latn	29.2	25.92	51.24	65.72	0.974
pol_Latn	33.41	36.32	52.07	63.91	0.973
por_Latn	57.69	58.6	72.31	32.95	0.975
quy_Latn	11.29	8.22	34	99.97	1.035
ron_Latn	48.16	49.99	64.98	44.06	0.958
rus_Cyrl	40.83	43.87	58.74	53.48	0.965
san_Deva	13.33	9.98	30.34	94.62	1.036
sin_Sinh	37.11	40.43	51.22	65.07	0.948
slk_Latn	47.67	48.41	63.1	47.05	0.967
slv_Latn	41.97	42.4	59.59	52.73	0.978
sna_Latn	25.23	20.78	44.38	77.68	0.926
snd_Arab	37.56	32.63	48.67	60.43	0.974
som_Latn	19.09	18.87	43.71	78.2	1
sot_Latn	26.57	22.47	47.77	63.35	0.971
spa_Latn	34.49	35.03	55.49	54.62	0.934
srp_Cyrl	47.93	48.06	63.35	44.47	0.966
sun_Latn	26.18	24.39	48.73	62.58	0.977
swe_Latn	52.64	54.25	69.38	37.43	0.982
swh_Latn	45.68	44.56	64.4	44.09	0.982
tam_Taml	39.07	38.73	55.81	66.76	0.957
tat_Cyrl	38.97	30.42	48.19	65.74	0.896
tel_Telu	46.37	44.71	58.22	59.07	0.989
tgk_Cyrl	39.97	35.57	51.76	60.32	0.927
tgl_Latn	41.28	39.81	61.8	45.11	0.932
tha_Thai	35.44	45.22	49.73	90.43	0.899
tir_Ethi	21.06	17.62	26.29	83.78	0.987
tso_Latn	32.15	26.07	50.92	68.27	1.038
tuk_Latn	41.38	35.82	52.68	60.73	0.905
tur_Latn	45.5	46.42	62.44	50.34	0.973
twi_Latn	22.59	17.38	40.89	79.07	1.065
uig_Arab	52.96	40.18	54.26	68.06	0.97
ukr_Cyrl	41.4	42.76	58.6	53.29	0.965
urd_Arab	32.19	32.66	50.03	58.03	0.961
uzn_Latn	41.21	37.76	56.36	60.23	0.954
xho_Latn	33.5	29.53	52.2	71.28	1.032
ydd_Hebr	25.28	16.81	37.66	71.07	1.101
yor_Latn	5.38	4.91	20.04	96.98	0.81
