Lang	spBLEU100	spBLEU200	chrF2++	TER	SLR
ace_Arab	2.42	2.26	9.75	111.1	0.715
ace_Latn	3.48	4.35	17.96	96.5	0.622
acm_Arab	24.95	29.65	46.12	73.15	1.053
acq_Arab	27.23	31.87	48.11	69.96	1.057
aeb_Arab	20.46	24.71	41.26	78.1	1.094
afr_Latn	47.25	46.66	66.68	41.81	1.008
ajp_Arab	27.43	32.23	47.52	69.38	1.013
aka_Latn	2.56	3.06	13.78	96.73	0.529
als_Latn	34.37	34.19	56.33	55.63	1.053
amh_Ethi	4.01	3.71	10.6	110.97	1.096
apc_Arab	26.11	30.87	45.82	70.29	1.023
arb_Arab	33.67	37.85	53.81	62.25	1.054
arb_Latn	8.43	8.38	26.92	104.72	0.944
ars_Arab	32.89	37.18	53.13	62.9	1.063
ary_Arab	15.53	19.6	36.72	86.17	1.107
arz_Arab	22.35	26.65	42.66	77.97	1.056
asm_Beng	14.11	10.56	26.11	94.78	1.032
ast_Latn	33.87	32.34	54.51	54.82	1
awa_Deva	17.77	16.62	36.32	81.58	1.109
ayr_Latn	0.01	0.07	3.8	100.01	0.153
azb_Arab	3.24	3.6	18.54	102.01	0.864
azj_Latn	15.69	17.71	40.31	86.47	1.108
bak_Cyrl	8.76	5.65	20.66	104.88	0.88
bam_Latn	0.45	0.69	6.86	100.69	0.34
ban_Latn	8.39	9	27.35	85.81	0.745
bel_Cyrl	17.99	20.51	39.09	93.41	1.105
bem_Latn	0.77	1.06	9.1	100.4	0.368
ben_Beng	23.73	22.15	39.02	81.79	1.041
bho_Deva	13	12.51	30.66	88.41	1.18
bjn_Arab	3.13	3.05	13.24	107.32	0.833
bjn_Latn	11.11	12.29	37.98	79.07	1.193
bod_Tibt	0.68	0.39	14.65	184.75	2.249
bos_Latn	39.07	40.58	60.11	53.41	1.024
bug_Latn	2.65	2.72	16.43	98.35	0.644
bul_Cyrl	41.72	44.36	61.91	51.77	1.015
cat_Latn	48.04	47.88	65.32	43.27	1.021
ceb_Latn	30.13	29.05	52.86	54.83	0.978
ces_Latn	39.39	40.81	57.44	56.08	1.025
cjk_Latn	0.12	0.15	4.51	100.14	0.258
ckb_Arab	7.33	6.53	24.81	94.49	0.941
crh_Latn	6.19	6.83	28.98	95.84	1.238
cym_Latn	49.66	48.5	64.89	44.46	1.03
dan_Latn	51.84	52.46	69.67	40.38	1.022
deu_Latn	46.1	47.85	65.42	47.5	1.029
dik_Latn	0.1	0.14	4.44	100.36	0.21
dyu_Latn	0.08	0.12	4.3	101.73	0.23
dzo_Tibt	0.32	0.65	15.92	309.89	3.206
ell_Grek	32.8	35.83	51.57	60.79	1.049
epo_Latn	40.64	38.52	58.77	51.21	0.997
est_Latn	36.14	35.79	56.88	62.22	1.016
eus_Latn	20.98	19.53	43.89	83.66	1.009
ewe_Latn	0.46	0.72	6.12	104.25	0.361
fao_Latn	21.12	19.23	41.5	71.07	1.04
fij_Latn	4.98	4.85	21.29	88.03	0.562
fin_Latn	34.7	36.12	56.4	62.91	1.02
fon_Latn	0.18	0.19	4.06	119	0.301
fra_Latn	55.83	56.61	71.28	37.69	1.021
fur_Latn	21.32	19.84	42.5	68.46	1.001
fuv_Latn	0.32	0.44	5.79	101.44	0.333
gaz_Latn	0.35	0.43	7.33	102.19	0.413
gla_Latn	19.41	16.31	39	78.43	0.979
gle_Latn	30.2	26.27	47.48	69.56	1.021
glg_Latn	40.79	40.03	61.52	48.71	1.032
grn_Latn	0.19	0.55	5.69	100.6	0.248
guj_Gujr	22.48	19.42	37.14	83.4	1.019
hat_Latn	27.29	24.84	47.18	63.73	0.972
hau_Latn	5.9	6.31	22.44	89.19	0.701
heb_Hebr	33.14	35.39	50.71	62.9	1.012
hin_Deva	31.39	29.38	48.61	64.38	1.031
hne_Deva	16.91	15.52	36.09	81.68	1.148
hrv_Latn	36.51	38.24	57.21	56.94	1.006
hun_Latn	32.76	34.9	54.52	63.77	1.02
hye_Armn	14.43	14.77	33.5	90.99	1.059
ibo_Latn	3.93	3.97	16.28	96.54	0.653
ilo_Latn	12.36	12.58	35.58	77.03	0.904
ind_Latn	48.46	48.69	68.52	38.67	1.008
isl_Latn	25.65	26.02	45.04	69.19	1.008
ita_Latn	36.96	37.73	59.48	57.39	1.056
jav_Latn	19.22	18.87	42.67	69.66	1.028
jpn_Jpan	34.87	31.31	33.73	104.82	1.023
kab_Latn	1.71	1.5	12.92	94.89	0.581
kac_Latn	0.08	0.09	4.81	99.19	0.217
kam_Latn	0.85	1.08	9.04	98.26	0.404
kan_Knda	20.46	19.42	38.2	88.65	1.056
kas_Arab	3.39	3.3	14.33	103.9	0.763
kas_Deva	3.08	2.68	13.91	107.13	1.244
kat_Geor	14.05	15.68	33.49	96.25	1.058
kaz_Cyrl	13.44	13.38	33.35	89.55	0.978
kbp_Latn	1.86	1.38	9.37	105.35	0.556
kea_Latn	18.6	18.73	42.99	68.32	1.04
khk_Cyrl	7.43	8.5	26.55	97.97	1.005
khm_Khmr	6.21	6.05	21.13	209.56	1.056
kik_Latn	1.61	2.04	11.64	100.33	0.412
kin_Latn	3.72	3.11	18.02	97.37	0.601
kir_Cyrl	9.35	8.95	26.6	99.29	0.943
kmb_Latn	0.34	0.38	6.1	99.56	0.316
kmr_Latn	10.31	9.37	27.41	87.87	0.871
knc_Arab	1.15	1.06	4.67	105.14	0.377
knc_Latn	0.67	0.91	8.11	101.12	0.41
kon_Latn	1.08	1.27	10.48	97.33	0.409
kor_Hang	28.09	25.94	34.89	77.29	1.044
lao_Laoo	4.79	4.01	21.53	168.57	0.965
lij_Latn	10.13	10.3	35.2	83.53	1.125
lim_Latn	18.85	19.81	42.73	70.15	1.015
